term,language,sightings,offensiveness,source,label,source_url,filter_group,filter_name,target_category,showing_range,coverage_note,text
Angies (plural of Angie),English,-,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Angies (plural of Angie): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: -.
Anglo,English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Anglo: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: -.
Anglo Fool,English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Anglo Fool: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Moderately offensive. Sightings: -.
Anglos (plural of Anglo),English,493 sightings,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Anglos (plural of Anglo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: 493 sightings.
Ann,English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Ann: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: -.
Annies (plural of Ann),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Annies (plural of Ann): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: -.
Anns (plural of Ann),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Anns (plural of Ann): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Moderately offensive. Sightings: -.
ape,English,1 sighting,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] ape: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: 1 sighting.
apes (plural of ape),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] apes (plural of ape): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: -.
apple,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] apple: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: -.
apples (plural of apple),English,-,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] apples (plural of apple): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: -.
Argie,English,317 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Argie: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 317 sightings.
Argies (plural of Argie),English,496 sightings,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Argies (plural of Argie): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: 496 sightings.
Armo,English,8 sightings,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Armo: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Moderately offensive. Sightings: 8 sightings.
Armos (plural of Armo),English,247 sightings,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Armos (plural of Armo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: 247 sightings.
canigger,English,8 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] canigger: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 8 sightings.
caniggers (plural of canigger),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] caniggers (plural of canigger): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
canigglet (variant of canigger),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] canigglet (variant of canigger): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Mildly offensive. Sightings: -.
canniglets (plural of canigglet),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] canniglets (plural of canigglet): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Mildly offensive. Sightings: -.
coonadian,English,29 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] coonadian: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 29 sightings.
coonadians (plural of coonadian),English,3 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] coonadians (plural of coonadian): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 3 sightings.
floppies (plural of floppy),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] floppies (plural of floppy): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
floppy,English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] floppy: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
golliwog,English,364 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] golliwog: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 364 sightings.
jigga,English,3 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] jigga: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 3 sightings.
jiggas (plural of jigga),English,95 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] jiggas (plural of jigga): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 95 sightings.
jigger,English,25 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] jigger: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 25 sightings.
jiggers (plural of jigger),English,52 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] jiggers (plural of jigger): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 52 sightings.
meatball patriot,English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] meatball patriot: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
meatball patriots (plural of meatball patriot),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] meatball patriots (plural of meatball patriot): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: -.
mongrel,English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] mongrel: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
mulatto (variant of mulato),English,529 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] mulatto (variant of mulato): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 529 sightings.
mullatoes (plural of mulatto),English,29 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] mullatoes (plural of mulatto): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 29 sightings.
nappyhead,English,293 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] nappyhead: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 293 sightings.
negro,English,172 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] negro: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 172 sightings.
niggera,English,308 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] niggera: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 308 sightings.
niggerwool,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] niggerwool: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: -.
niglette (variant of niglet),English,209 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] niglette (variant of niglet): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 209 sightings.
pavement ape,English,644 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] pavement ape: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 644 sightings.
pavement apes (plural of pavement ape),English,663 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] pavement apes (plural of pavement ape): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 663 sightings.
Rhineland bastard (variant of Rhine monkey),English,8 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] Rhineland bastard (variant of Rhine monkey): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 8 sightings.
Rhineland bastards (plural of Rhineland bastard),English,117 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] Rhineland bastards (plural of Rhineland bastard): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 117 sightings.
sheboon,English,"2,416 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,"[hate] sheboon: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 2,416 sightings."
sheboons (plural of sheboon),English,"1,580 sightings",-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,"[hate] sheboons (plural of sheboon): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 1,580 sightings."
shit heel,English,"1,096 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,"[hate] shit heel: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 1,096 sightings."
skinnie (variant of skinny),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] skinnie (variant of skinny): Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: -.
toad,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,ethnicity,african,African,Showing 1 - 33 of 33 results,selected_english_filters,[hate] toad: Hatebase entry. Target category: African. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: -.
boogat,English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] boogat: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
boogats (plural of boogat),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] boogats (plural of boogat): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
bootlip,English,52 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] bootlip: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 52 sightings.
bootlips (plural of bootlip),English,24 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] bootlips (plural of bootlip): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 24 sightings.
chimp pack,English,9 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] chimp pack: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 9 sightings.
